,Age,Gender,Income Quintile,Race and Ethnicity,Region,Affinity,Familiarity,Previously Purchased,Channel: WXP,Channel: RCQ,Channel: MegaNews,Channel: The Springfield Times,Channel: The Springfield Journal,Channel: The Springfield Post,Channel: The Franklin Burgher,Channel: GolfMAX,Channel: Sloth Magazine,Channel: GlitzNGlam,Channel: Cooking with Kevin,Channel: The Coffee Channel
2255,25-54,Female,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No
2256,55-64,Female,4,Black,West,Like,Somewhat familiar,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No
2257,15-24,Male,4,Hispanic,South,Neutral,Unfamiliar,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
2258,65+,Male,2,Black,West,Strongly like,Somewhat familiar,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No
2259,25-54,Male,1,Non-Hispanic White,Midwest,Dislike,Very familiar,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No
2260,55-64,Male,1,Non-Hispanic White,Midwest,Strongly dislike,Somewhat familiar,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
2261,25-54,Male,1,Non-Hispanic White,Midwest,Strongly dislike,Somewhat familiar,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No
2262,25-54,Female,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No
2263,25-54,Male,5,Hispanic,South,Neutral,Somewhat familiar,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes
2264,65+,Female,5,Hispanic,Midwest,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No
2265,25-54,Male,4,Other,West,Neutral,Very familiar,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes
2266,55-64,Female,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No
2267,15-24,Male,5,Non-Hispanic White,Northeast,Dislike,Very familiar,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No
2268,65+,Female,1,Other,South,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No
2269,25-54,Female,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No
2270,55-64,Male,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No
2271,15-24,Female,2,Hispanic,Northeast,Neutral,Unfamiliar,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes
2272,15-24,Male,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
2273,55-64,Female,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No
2274,65+,Female,5,Asian,South,Neutral,Unfamiliar,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
2275,25-54,Male,1,Non-Hispanic White,West,Neutral,Somewhat familiar,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No
2276,15-24,Male,5,Asian,South,Neutral,Unfamiliar,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
2277,25-54,Female,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
2278,25-54,Male,1,Non-Hispanic White,Northeast,Strongly dislike,Very familiar,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No
2279,25-54,Male,3,Non-Hispanic White,Northeast,Dislike,Very familiar,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes
2280,55-64,Female,4,Black,South,Neutral,Unfamiliar,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No
2281,15-24,Male,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes
2282,25-54,Male,4,Non-Hispanic White,Midwest,Neutral,Very familiar,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No
2283,65+,Male,1,Asian,South,Neutral,Unfamiliar,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No
2284,55-64,Female,5,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
2285,25-54,Male,2,Black,West,Neutral,Somewhat familiar,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
2286,65+,Female,2,Black,Northeast,Neutral,Somewhat familiar,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
2287,55-64,Male,4,Hispanic,Northeast,Neutral,Very familiar,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
2288,55-64,Female,5,Non-Hispanic White,Northeast,Neutral,Somewhat familiar,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
2289,55-64,Female,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No
2290,25-54,Male,5,Non-Hispanic White,Northeast,Dislike,Very familiar,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No
2291,55-64,Female,3,Non-Hispanic White,West,Neutral,Unfamiliar,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No
2292,65+,Male,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No
2293,25-54,Male,5,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
2294,25-54,Male,1,Hispanic,South,Neutral,Somewhat familiar,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No
2295,15-24,Male,2,Asian,South,Neutral,Unfamiliar,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No
2296,55-64,Male,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No
2297,25-54,Male,2,Hispanic,West,Neutral,Somewhat familiar,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
2298,55-64,Female,5,Hispanic,South,Neutral,Unfamiliar,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
2299,25-54,Male,3,Black,South,Neutral,Unfamiliar,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No
2300,25-54,Male,5,Non-Hispanic White,South,Strongly like,Somewhat familiar,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
2301,15-24,Male,5,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes
2302,65+,Female,4,Other,South,Neutral,Unfamiliar,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No
2303,15-24,Female,5,Non-Hispanic White,Northeast,Neutral,Somewhat familiar,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No
2304,65+,Male,3,Non-Hispanic White,Midwest,Dislike,Somewhat familiar,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes
2305,25-54,Female,1,Black,West,Strongly dislike,Somewhat familiar,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
2306,25-54,Male,4,Hispanic,Northeast,Dislike,Somewhat familiar,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No
2307,65+,Female,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No
2308,65+,Female,3,Hispanic,South,Neutral,Unfamiliar,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes
2309,25-54,Male,3,Non-Hispanic White,South,Neutral,Somewhat familiar,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No
2310,15-24,Female,1,Non-Hispanic White,Northeast,Strongly dislike,Somewhat familiar,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No
2311,55-64,Male,1,Non-Hispanic White,Northeast,Dislike,Very familiar,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
2312,15-24,Female,2,Hispanic,Northeast,Strongly dislike,Very familiar,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No
2313,25-54,Female,5,Asian,Northeast,Dislike,Very familiar,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes
2314,25-54,Female,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
2315,55-64,Male,5,Hispanic,South,Strongly like,Somewhat familiar,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
2316,25-54,Female,1,Non-Hispanic White,Midwest,Neutral,Unfamiliar,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No
2317,65+,Female,1,Hispanic,Midwest,Dislike,Somewhat familiar,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No
2318,55-64,Male,2,Asian,Midwest,Strongly dislike,Somewhat familiar,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No
2319,55-64,Male,3,Non-Hispanic White,Midwest,Neutral,Somewhat familiar,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No
2320,25-54,Male,2,Non-Hispanic White,West,Strongly dislike,Somewhat familiar,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No
2321,65+,Male,1,Non-Hispanic White,South,Like,Somewhat familiar,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No
2322,25-54,Male,4,Non-Hispanic White,Midwest,Dislike,Somewhat familiar,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
2323,25-54,Female,4,Non-Hispanic White,Northeast,Dislike,Somewhat familiar,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No
2324,25-54,Female,2,Non-Hispanic White,Northeast,Strongly dislike,Somewhat familiar,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes
2325,65+,Female,4,Hispanic,West,Neutral,Unfamiliar,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No
2326,55-64,Female,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
2327,55-64,Male,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
2328,15-24,Male,2,Non-Hispanic White,Midwest,Strongly dislike,Somewhat familiar,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No
2329,15-24,Male,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes
2330,15-24,Male,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No
2331,15-24,Male,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No
2332,25-54,Male,3,Non-Hispanic White,South,Like,Somewhat familiar,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No
2333,25-54,Female,4,Hispanic,South,Neutral,Unfamiliar,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No
2334,55-64,Female,2,Asian,West,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
2335,25-54,Male,4,Black,Midwest,Like,Very familiar,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes
2336,25-54,Male,3,Hispanic,South,Dislike,Somewhat familiar,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No
2337,25-54,Male,5,Non-Hispanic White,Northeast,Neutral,Very familiar,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No
2338,65+,Male,1,Black,Midwest,Like,Very familiar,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No
2339,25-54,Female,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
2340,15-24,Male,2,Hispanic,Midwest,Dislike,Somewhat familiar,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
2341,25-54,Female,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No
2342,55-64,Female,5,Non-Hispanic White,West,Neutral,Unfamiliar,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No
2343,55-64,Male,1,Non-Hispanic White,West,Neutral,Somewhat familiar,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No
2344,25-54,Female,5,Hispanic,South,Neutral,Unfamiliar,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No
2345,25-54,Male,5,Non-Hispanic White,South,Like,Somewhat familiar,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No
2346,15-24,Male,2,Black,Midwest,Neutral,Very familiar,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No
2347,15-24,Male,3,Non-Hispanic White,Midwest,Dislike,Very familiar,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes
2348,65+,Male,4,Non-Hispanic White,South,Neutral,Somewhat familiar,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes
2349,55-64,Male,1,Black,South,Neutral,Unfamiliar,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No
2350,65+,Female,4,Asian,Midwest,Neutral,Unfamiliar,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No
2351,25-54,Female,5,Black,Northeast,Dislike,Very familiar,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No
2352,65+,Female,5,Black,Northeast,Neutral,Very familiar,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2353,65+,Female,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No
2354,55-64,Female,4,Black,Northeast,Neutral,Somewhat familiar,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
2355,25-54,Male,3,Non-Hispanic White,Northeast,Strongly dislike,Very familiar,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes
2356,25-54,Male,4,Asian,Midwest,Neutral,Very familiar,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No
2357,25-54,Male,4,Hispanic,South,Like,Somewhat familiar,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No
2358,65+,Female,4,Non-Hispanic White,Midwest,Neutral,Unfamiliar,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No
2359,65+,Female,3,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No
2360,65+,Male,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
2361,25-54,Female,5,Asian,Midwest,Neutral,Unfamiliar,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No
2362,25-54,Male,2,Hispanic,Midwest,Neutral,Somewhat familiar,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No
2363,65+,Male,4,Non-Hispanic White,Midwest,Neutral,Very familiar,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
2364,25-54,Male,5,Hispanic,West,Like,Somewhat familiar,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No
2365,15-24,Male,2,Hispanic,West,Strongly dislike,Very familiar,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No
2366,25-54,Male,3,Other,South,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No
2367,15-24,Female,1,Black,Midwest,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
2368,25-54,Male,5,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2369,55-64,Male,3,Other,West,Neutral,Unfamiliar,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
2370,25-54,Female,2,Asian,West,Strongly dislike,Somewhat familiar,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes
2371,65+,Female,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No
2372,65+,Male,5,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No
2373,25-54,Male,5,Hispanic,Midwest,Neutral,Very familiar,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No
2374,25-54,Male,1,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No
2375,25-54,Female,3,Non-Hispanic White,Midwest,Dislike,Somewhat familiar,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No
2376,55-64,Male,3,Black,South,Neutral,Unfamiliar,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No
2377,25-54,Female,4,Asian,South,Neutral,Unfamiliar,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No
2378,55-64,Female,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
2379,65+,Male,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No
2380,65+,Male,2,Non-Hispanic White,Northeast,Neutral,Very familiar,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No
2381,65+,Male,2,Black,South,Neutral,Somewhat familiar,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes
2382,25-54,Male,2,Asian,Midwest,Strongly dislike,Very familiar,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No
2383,55-64,Female,2,Asian,West,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
2384,15-24,Female,1,Black,Northeast,Strongly dislike,Very familiar,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
2385,25-54,Female,1,Non-Hispanic White,Northeast,Dislike,Somewhat familiar,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
2386,65+,Female,5,Hispanic,West,Neutral,Unfamiliar,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
2387,25-54,Male,2,Non-Hispanic White,Midwest,Strongly dislike,Very familiar,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes
2388,15-24,Female,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No
2389,15-24,Male,3,Asian,Northeast,Strongly dislike,Somewhat familiar,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
2390,25-54,Female,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
2391,15-24,Male,3,Asian,South,Neutral,Unfamiliar,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No
2392,65+,Female,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No
2393,55-64,Male,5,Hispanic,South,Neutral,Unfamiliar,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No
2394,25-54,Male,3,Non-Hispanic White,West,Strongly like,Somewhat familiar,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No
2395,25-54,Female,2,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes
2396,25-54,Female,2,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
2397,15-24,Female,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No
2398,25-54,Female,2,Non-Hispanic White,Northeast,Neutral,Somewhat familiar,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No
2399,25-54,Male,5,Non-Hispanic White,South,Strongly like,Somewhat familiar,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2400,25-54,Male,5,Non-Hispanic White,Northeast,Neutral,Very familiar,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
2401,55-64,Male,5,Black,Midwest,Like,Somewhat familiar,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No
2402,25-54,Female,2,Hispanic,West,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2403,25-54,Female,5,Asian,South,Neutral,Unfamiliar,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
2404,65+,Female,4,Other,Northeast,Neutral,Somewhat familiar,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No
2405,25-54,Male,4,Non-Hispanic White,West,Neutral,Somewhat familiar,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No
2406,15-24,Male,5,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No
2407,25-54,Male,1,Black,South,Neutral,Very familiar,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes
2408,25-54,Female,1,Non-Hispanic White,Northeast,Neutral,Unfamiliar,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No
2409,25-54,Male,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2410,25-54,Male,1,Non-Hispanic White,Northeast,Strongly dislike,Very familiar,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No
2411,65+,Male,1,Black,South,Neutral,Unfamiliar,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No
2412,65+,Female,4,Hispanic,Northeast,Dislike,Very familiar,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No
2413,25-54,Male,4,Other,Northeast,Dislike,Very familiar,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes
2414,65+,Male,5,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No
2415,15-24,Male,5,Hispanic,South,Neutral,Unfamiliar,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
2416,25-54,Female,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No
2417,65+,Female,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No
2418,25-54,Female,5,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No
2419,55-64,Male,2,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No
2420,55-64,Male,1,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
2421,15-24,Female,4,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes
2422,25-54,Male,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes
2423,25-54,Female,4,Hispanic,Midwest,Neutral,Unfamiliar,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
2424,25-54,Female,1,Hispanic,West,Neutral,Unfamiliar,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No
2425,55-64,Other,2,Asian,Midwest,Neutral,Unfamiliar,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No
2426,25-54,Male,5,Non-Hispanic White,Midwest,Like,Somewhat familiar,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes
2427,15-24,Male,3,Non-Hispanic White,Northeast,Strongly dislike,Very familiar,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
2428,65+,Other,5,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No
2429,15-24,Female,1,Hispanic,South,Neutral,Unfamiliar,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No
2430,25-54,Female,3,Black,West,Neutral,Unfamiliar,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No
2431,25-54,Male,3,Other,West,Dislike,Somewhat familiar,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes
2432,15-24,Male,4,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No
2433,25-54,Female,2,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No
2434,65+,Female,1,Hispanic,Northeast,Strongly dislike,Somewhat familiar,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No
2435,55-64,Male,5,Non-Hispanic White,West,Neutral,Somewhat familiar,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
2436,15-24,Male,4,Non-Hispanic White,South,Neutral,Somewhat familiar,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No
2437,65+,Female,1,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No
2438,25-54,Male,3,Non-Hispanic White,Midwest,Neutral,Somewhat familiar,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes
2439,25-54,Female,5,Asian,Midwest,Strongly dislike,Somewhat familiar,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No
2440,65+,Female,4,Non-Hispanic White,West,Neutral,Unfamiliar,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No
2441,55-64,Female,3,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No
2442,55-64,Female,3,Non-Hispanic White,Midwest,Strongly dislike,Somewhat familiar,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes
2443,55-64,Male,5,Hispanic,Northeast,Neutral,Very familiar,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No
2444,25-54,Female,1,Non-Hispanic White,Northeast,Strongly dislike,Somewhat familiar,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No
2445,65+,Male,2,Asian,Midwest,Like,Very familiar,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No
2446,25-54,Male,2,Non-Hispanic White,West,Neutral,Somewhat familiar,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No
2447,25-54,Male,1,Non-Hispanic White,Northeast,Strongly dislike,Very familiar,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
2448,15-24,Female,4,Non-Hispanic White,Midwest,Strongly dislike,Somewhat familiar,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No
2449,25-54,Male,2,Hispanic,West,Neutral,Somewhat familiar,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes
2450,65+,Female,4,Non-Hispanic White,Northeast,Neutral,Somewhat familiar,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
2451,15-24,Female,3,Hispanic,West,Neutral,Unfamiliar,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No
2452,15-24,Female,3,Non-Hispanic White,West,Neutral,Unfamiliar,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No
2453,25-54,Male,4,Black,West,Like,Somewhat familiar,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No
2454,25-54,Female,5,Non-Hispanic White,South,Neutral,Unfamiliar,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No
2455,25-54,Female,1,Non-Hispanic White,Midwest,Neutral,Unfamiliar,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No
